Contributors Phase ONE
Txhash;Blockno;UnixTimestamp;DateTime;From;To;ContractAddress;Value(ETH);Approx.Value(USD);TxnFee(ETH);Approx.TxnFee(USD);Status;ErrCode
0xe5dce4df922b9c2cb05d63a52418d0c90d6f6b2137720c324e33369c6834c0f3;3491253;1491539761;4/7/2017 4:36:01 AM;0xd89056841ca8e0ce8f58d9a8535ed2efa5e7785e;0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e;;1.05005153;51.8515445514;0.0221449548;0.00044846;;
0x8c7258dbbe8a4b368b2822960b5f0e415ac9968345d1952e6bf2fc32c9ebcc1a;3487425;1491483915;4/6/2017 1:05:15 PM;0x265cd1cec38a9684d8902500e127a3066fea09e9;0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e;;5;246.9;0.0207396;0.00042;Error(0);Out of gas
0x5a4c8067cbbc16690fdcc50615dda28c181f9f278b78c9c4949627ad40028864;3487414;1491483745;4/6/2017 1:02:25 PM;0x4e35f74119d4ba89b7f893db396dd321640bc3a1;0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e;;64;3160.32;0.023914734;0.0004843;;
0x76bf26702e4131aef1d1bb122dd58ecfb53a96068db43d56a1dedaa1add258aa;3487393;1491483428;4/6/2017 12:57:08 PM;0x3b015942a9f81a04111b8828e1335e3a78ede5a7;0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e;;8;395.04;0.03100293672;0.000627844;;
0x7636e4ad3e1bccce1d084fde528de3e0d40df944f0b728e26ab8e4969e83627e;3487388;1491483340;4/6/2017 12:55:40 PM;0xffacfd0524408db3efaef186a969ca8c1a2eac74;0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e;;25.11412;1240.1352456;0.0221449548;0.00044846;;
0x9ef8aa1cb29281d6a01d318b8ce7a121fd38b5952239d8d4be20beffcf14e737;3487381;1491483302;4/6/2017 12:55:02 PM;0x6902ac5c19f750b71563662f92dc6875a187d12d;0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e;;12.2;602.436;0.0221449548;0.00044846;;
0x0b5c663d903a8feb65e9b9870302196f115e345da6e70403bda5e358f6f153ea;3487381;1491483302;4/6/2017 12:55:02 PM;0xba46a6d368f0b64d6034ac888c518876a65f25c0;0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e;;23.5;1160.43;0.0221449548;0.00044846;;
0xf7d4183b301e1eed5881b72bc4a529e9863f2a733d320855ea0455010137c184;3487374;1491483187;4/6/2017 12:53:07 PM;0x3da5c5a65202c742dd14a67f987ce435e0706f42;0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e;;19.99;987.1062;0.0221449548;0.00044846;;
0x731bc27cae0855e9797e4a318dc57ec43eba92c27dba6b4d06d93b125471a2d7;3487374;1491483187;4/6/2017 12:53:07 PM;0x89eb568eb6cb62bba55389415a0706f1e4216a4f;0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e;;5;246.9;0.0221449548;0.00044846;;
0x055ca8b7105db7262a85d92cd767ab1e17eb69c783b934b13ea04099aac76380;3487374;1491483187;4/6/2017 12:53:07 PM;0x5f67dd6320fcb3aeea3e8eb549c9c2d6dd97c94e;0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e;;1;49.38;0.0221449548;0.00044846;;
0xd835179edeb499031529a93564cecf4f47f0272f99116ede888f5b751de71ff6;3487368;1491483053;4/6/2017 12:50:53 PM;0xe9e0981b6727ce8c7e3d2e57497c1049862b3022;0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e;;6;296.28;0.0221449548;0.00044846;;
